DateTime,Media_Temperatura,Low_Temp,High_Temp,Media_Umidita,Date,Numero_Insetti
2024-08-06 16:00:00,35.45,"34,9","36,3","38,09",2024-08-06,0
2024-08-06 17:00:00,34.16,"32,8","34,7","39,08",2024-08-06,0
2024-08-06 18:00:00,32.47,"30,6","34,3","41,71",2024-08-06,0
2024-08-06 19:00:00,30.06,"29,6","30,5","48,83",2024-08-06,0
2024-08-06 20:00:00,29.15,"28,1","29,7","51,88",2024-08-06,0
2024-08-06 21:00:00,27.21,27,"27,8","56,4",2024-08-06,0
2024-08-06 22:00:00,25.87,"24,5","27,3","60,61",2024-08-06,0
2024-08-06 23:00:00,24.03,"23,8","24,3","68,1",2024-08-06,0
2024-08-07 00:00:00,23.33,"22,9",24,"73,29",2024-08-07,0
2024-08-07 01:00:00,22.66,"22,5","22,9","77,35",2024-08-07,0
2024-08-07 02:00:00,22.98,"22,8","23,2","75,79",2024-08-07,0
2024-08-07 03:00:00,22.52,"22,1","23,2","77,05",2024-08-07,0
2024-08-07 04:00:00,22.92,"22,6","23,3","75,79",2024-08-07,0
2024-08-07 05:00:00,22.51,"22,1","23,1","78,11",2024-08-07,0
2024-08-07 06:00:00,21.95,"21,5","22,5","80,96",2024-08-07,0
2024-08-07 07:00:00,22.29,"21,5","23,9","81,74",2024-08-07,0
2024-08-07 08:00:00,25.88,"24,4","27,2","68,34",2024-08-07,0
2024-08-07 09:00:00,29.12,"27,5",31,"57,84",2024-08-07,0
2024-08-07 10:00:00,32.59,"30,6","34,1","46,49",2024-08-07,0
2024-08-07 11:00:00,34.33,"33,4","35,1","41,23",2024-08-07,0
2024-08-07 12:00:00,35.13,"34,7","35,6","40,49",2024-08-07,0
2024-08-07 13:00:00,35.46,"33,8","36,6","39,47",2024-08-07,0
2024-08-07 14:00:00,34.35,"33,5","35,4","41,25",2024-08-07,0
2024-08-07 15:00:00,36.78,"35,3","37,6","37,45",2024-08-07,0
